time,gFx,gFy,gFz,ax,ay,az
1.031,0.41,0.3,1.06,1.17,1.03,1.06
2.052,0.07,0.14,0.97,0,-0.06,0.97
3.08,0.04,0.15,1.01,-0.01,0.03,1.01
4.107,-0.07,0.14,0.97,-0.3,0.12,0.97
5.137,-1.42,0.1,0.22,-3.6,0.04,0.22
6.165,-0.84,0.32,-0.07,2.63,1.16,-0.07
7.215,-0.81,-0.7,0.16,-0.45,-0.08,0.16
8.222,-0.49,-0.67,0.02,0.28,2.31,0.02
9.249,-0.16,-0.98,0.02,-0.26,0.2,0.02
10.277,-0.1,-1.04,0,-1.31,-0.14,0
11.306,-0.07,-0.98,0.05,-0.31,0.25,0.05
15.708,-0.1,-1,-0.15,-0.2,-0.04,-0.15
16.046,-0.14,-1.02,-0.12,1.08,-0.26,-0.12
16.271,-0.09,-1,0.02,1.08,-0.26,0.02
16.493,-0.08,-1,-0.01,0.16,0.03,-0.01
16.89,-0.13,-1,-0.01,-0.27,0,-0.01
24.551,-0.21,-0.98,0,-1.09,-0.74,0
24.953,-0.17,-0.99,0,5.21,-11.63,0
25.182,-0.05,-1.01,0.02,5.21,-11.63,0.02
25.393,-0.06,-0.98,0.04,5.21,-11.63,0.04
25.626,0.01,-0.71,0.2,5.21,-11.63,0.2
25.85,0.89,-1.74,0.45,7.44,0.06,0.45
26.102,0.12,-0.27,0.36,7.23,5.3,0.36
26.49,0.3,-0.02,0.32,6.64,8.51,0.32
43.411,-0.84,-1.14,0.12,-9.81,-3.1,0.12
43.729,0.01,-0.73,0.33,-9.81,-3.1,0.33
43.948,1.75,-1.22,-1.21,-10.24,-3.08,-1.21
44.168,-0.79,-1.72,-0.48,-10.51,-2.98,-0.48
44.386,-0.13,-0.89,0.43,-8.54,-5.62,0.43
44.612,1.21,-3.15,0.63,7.75,7.47,0.63
44.839,-0.67,-2.24,-0.81,-1.67,-10.19,-0.81
45.084,0.71,-1.04,0.55,7.28,-3.98,0.55
50.203,0.18,-2.84,0.29,3.76,5.92,0.29
50.536,0.17,-0.88,-0.21,-13.16,-3.8,-0.21
50.759,0.75,-0.65,-0.97,-13.16,-3.8,-0.97
50.975,0.21,-0.92,-1.17,-13.16,-3.8,-1.17
51.202,-0.89,-1.11,0.04,-10.93,-1.93,0.04
51.917,1.68,-3.24,0.89,15.92,-25.51,0.89
55.692,-0.17,-0.79,0.28,-3.99,-3.5,0.28
56.038,-0.51,0.11,0.04,-9.94,-4.42,0.04
56.246,-0.8,-1.35,0.39,-10.65,-4.36,0.39
56.471,1.3,-3.61,0.83,10.89,-25.87,0.83
57.49,-0.12,0.06,0.46,3.46,9.41,0.46
58.523,-0.39,-2.83,-2.53,-2.94,-13.66,-2.53
59.55,0.66,-0.18,0.58,7.78,5.74,0.58
60.578,-0.19,-0.92,0.64,-3.33,0.69,0.64
61.606,-0.06,-1.34,-0.44,-2.96,-4.22,-0.44
78.508,-0.29,-1.22,-0.58,6.72,1.44,-0.58
81.976,0.23,-2.6,0.2,6.72,1.44,0.2
82.213,-0.36,-1.86,0.07,6.72,1.44,0.07
82.438,0.03,-1.3,0.42,6.72,1.44,0.42
82.661,1.42,-2.41,0.31,6.72,1.44,0.31
82.889,0.34,-0.1,0.27,8,-14.73,0.27
83.097,0.34,-0.31,0.17,-6.01,-1.91,0.17
83.331,-0.21,-1.31,-0.18,-6.01,-1.91,-0.18
83.543,0.67,-0.72,0,8.42,2.67,0
83.772,-1.02,-2.09,-1.36,-14.22,-16.07,-1.36
85.801,-0.43,-0.27,0.38,-8.47,-2.53,0.38
86.12,0.4,-0.09,-0.04,13.71,-13.17,-0.04
86.348,-0.2,-1.13,0.29,-1.29,-0.82,0.29
87.248,-0.11,-0.83,0.14,-1.99,1.66,0.14
89.845,-0.05,-1.97,-0.7,2.54,7.51,-0.7
90.166,-0.13,-0.85,0.1,8.4,8.52,0.1
90.399,-0.32,-1.19,-0.14,-5.37,-2.84,-0.14
91.361,-0.9,-1.25,-0.11,-12.81,-4.43,-0.11
93.83,0.42,-0.13,0.3,-10.8,-5.3,0.3
94.202,-0.7,-1.33,0.22,-15.48,-12.14,0.22
94.446,0.46,-0.32,-0.46,8.75,4.6,-0.46
95.474,-1.11,0.02,0.13,-8.23,9.81,0.13
96.502,0.33,-0.12,0.32,6.03,7.81,0.32
97.53,-0.9,-2.62,-1.9,2.35,-15.27,-1.9
98.558,-0.07,-0.53,-0.06,-0.96,1.95,-0.06
99.592,0.34,-2.06,-0.07,6.33,-17.83,-0.07
102.368,0.75,-1.27,-0.93,10.1,-11.06,-0.93
102.632,0.64,-0.71,0.52,-5.58,-7.49,0.52
102.934,-0.23,-1.31,-0.13,-4.41,-3.14,-0.13
103.83,-1.56,-1.76,-0.12,-14.57,-6.58,-0.12
111.685,-1.08,-1.41,0.21,6.28,-5.33,0.21
111.93,-0.12,-0.77,-0.06,7.55,-20.58,-0.06
112.156,-1.02,-1.44,-0.52,7.55,-20.58,-0.52
112.389,-0.56,-1.15,-0.16,7.55,-20.58,-0.16
112.653,0.53,-0.35,0.48,7.55,-20.58,0.48
112.874,0.67,-0.6,-1.07,11.06,0.54,-1.07
113.185,-0.19,0.04,0.39,1.56,9.31,0.39
113.758,0.47,-0.14,0.45,7.04,7.71,0.45
114.786,-1.22,-2.2,-1.01,-11.31,-14.34,-1.01
173.236,-0.77,-1.63,-1.15,-11.39,-4.41,-1.15
180.166,-0.84,-1.53,0.43,-11.39,-4.41,0.43
180.388,0.4,-0.55,0.38,-11.39,-4.41,0.38
